"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","rmsd","rmse","intercept","metric","method","point"
"AUC_scaled_PA_200","all",1375,0.720891695731535,0,0.89484259126897,0.87016437681901,0.920220689884108,-0.000891064217452997,-0.0214255994020989,0.0196434709671929,1,1.13242748511766e-14,0,0.932174720627257,0.186156689679165,0.15589640023907,-0.000891064217452997,"AUC_scaled","PA","200"
"AUC_scaled_PA_400","all",1396,0.759042271122882,0,0.921319675885177,0.897864491715967,0.945387586885093,-0.0168145987108066,-0.0360915533135193,0.00246235589190614,1,5.79200576389383e-10,0,0.0872865575333155,0.170044650891438,0.144378511694353,-0.0168145987108066,"AUC_scaled","PA","400"
"AUC_scaled_PBG_40","all",1342,0.460785067917017,6.11870414993084e-182,1.05528101626746,1.01457016491475,1.09762543962453,0.0415445762602761,0.0137913452816527,0.0692978072388995,1,0.00737273419598061,0,0.00337522993899166,0.238175823933909,0.231844066424551,0.0415445762602761,"AUC_scaled","PBG","40"
"AUC_scaled_PBG_80","all",1386,0.514433909891778,2.28660734751698e-219,1.08789222014693,1.04865305290334,1.12859966352028,0.0299048158953822,0.00364698921770889,0.0561626425730555,1,7.26856458044267e-06,0,0.0256330320939657,0.22096420638998,0.212635621108035,0.0299048158953822,"AUC_scaled","PBG","80"
"AUC_scaled_PBG_120","all",1400,0.555163289583893,3.53902750966495e-248,1.05320677706537,1.01699738141441,1.09070537990346,0.0467619475760294,0.0229982867409462,0.0705256084111125,1,0.0037016105984542,0,0.000118490111411446,0.217442595345075,0.208052562686142,0.0467619475760294,"AUC_scaled","PBG","120"
"AUC_scaled_PBG_160","all",1400,0.561431650830289,1.73093734891156e-252,1.06858687133603,1.03210388103361,1.10635946882419,0.0484321117256178,0.0241772149082931,0.0726870085429425,1,0.000185448787861864,0,9.396853918458e-05,0.215555266797652,0.20218728228412,0.0484321117256178,"AUC_scaled","PBG","160"
"AUC_scaled_PBG_200","all",1398,0.557089634102591,3.84299636547836e-249,1.05691922053607,1.02063400790204,1.09449443198036,0.0641531212389521,0.0404174917306059,0.0878887507472983,1,0.00191200707936923,0,1.32989452683375e-07,0.219933158926098,0.202384016841448,0.0641531212389521,"AUC_scaled","PBG","200"
"AUC_scaled_PBG_400","all",1407,0.555094400919141,2.31086066340285e-249,1.09392339294931,1.05640360086769,1.13277575791944,0.0319959681383394,0.00732264473496333,0.0566692915417154,1,4.95852749748948e-07,0,0.0110704414365526,0.214560598325509,0.203656087484759,0.0319959681383394,"AUC_scaled","PBG","400"
"COR_scaled_PAA_40","all",1342,0.494116790471022,1.60228159536291e-200,1.1992680894316,1.15442703363347,1.2458508926304,0.141496061386134,0.118002740752229,0.164989382020039,1,0,0,1.02727085154183e-30,0.310666884881083,0.222967811502144,0.141496061386134,"COR_scaled","PAA","40"
"COR_scaled_PAA_80","all",1386,0.543139056709899,1.08174552877004e-237,1.16808531376454,1.1271950491013,1.21045891864078,0.131518302409661,0.109299700598688,0.153736904220635,1,0,0,8.22809839301016e-30,0.285852432798614,0.205079405900248,0.131518302409661,"COR_scaled","PAA","80"
