"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","rmsd","rmse","intercept","metric","method","point"
"AUC_scaled_PAA_40","all",1342,0.611386812352806,2.64053038824716e-277,1.04189003768444,1.00766411336739,1.07727846633186,0.0130537280800449,-0.0138482763636094,0.0399557325236992,1,0.0160700497597825,0,0.341320322110514,0.210092197666335,0.209615321094656,0.0130537280800449,"AUC_scaled","PAA","40"
"AUC_scaled_PAA_80","all",1386,0.670315954506776,0,1.05779479229653,1.02625294291407,1.09030607934964,-0.0121753910923015,-0.0373300930763042,0.0129793108917013,1,0.000280162898216085,0,0.342535657369287,0.184058857335478,0.186026468586743,-0.0121753910923015,"AUC_scaled","PAA","80"
"AUC_scaled_PAA_120","all",1400,0.699291152879976,0,1.02115598180373,0.992199592000864,1.05095743596379,0.0134294764044711,-0.00915296544025995,0.0360119182492022,1,0.153644666560837,0,0.243581255271758,0.183086013587629,0.182689837036989,0.0134294764044711,"AUC_scaled","PAA","120"
"AUC_scaled_PAA_160","all",1400,0.72172207659982,0,1.0295193471797,1.00142015123648,1.05840698822429,0.0084858997995797,-0.0139796522102481,0.0309514518094075,1,0.0393645895234875,0,0.458831483230942,0.173272778085661,0.172952956322041,0.0084858997995797,"AUC_scaled","PAA","160"
"AUC_scaled_PAA_200","all",1398,0.710800867008969,0,1.00552635926379,0.977536511512307,1.0343176416092,0.0327591959759185,0.0106454799027829,0.0548729120490541,1,0.701850320050434,0,0.00371849526545142,0.177857828715864,0.174506872505771,0.0327591959759185,"AUC_scaled","PAA","200"
"AUC_scaled_PAA_400","all",1407,0.693095987228117,0,1.034126560183,1.00457919106795,1.06454299669402,0.00633823264448208,-0.0170612978405443,0.0297377631295084,1,0.0233020172560617,0,0.595257943077348,0.180741269668375,0.180825387934352,0.00633823264448208,"AUC_scaled","PAA","400"
"AUC_scaled_PA_40","all",1149,0.436223537780411,6.4796585427693e-145,0.898320225892659,0.860093754408723,0.938245655326961,0.0479867525614207,0.0140078073469372,0.0819656977759042,1,1.433547517804e-06,0,0.00568078039971218,0.278663934601377,0.26025487927853,0.0479867525614207,"AUC_scaled","PA","40"
"AUC_scaled_PA_80","all",1321,0.565707269918654,3.82635638352807e-241,0.952552940362368,0.919248062901116,0.987064472379092,0.0153192812127202,-0.01352267836632,0.0441612407917603,1,0.00745533923140984,0,0.297610744976403,0.223819004420804,0.216912566084971,0.0153192812127202,"AUC_scaled","PA","80"
"AUC_scaled_PA_120","all",1363,0.66982318016961,0,0.963090618174993,0.934113088974008,0.992967071937154,0.0160358254864006,-0.00790117405600884,0.03997282502881,1,0.0158618458354437,0,0.189005817920143,0.196424663272443,0.192082903458313,0.0160358254864006,"AUC_scaled","PA","120"
"AUC_scaled_PA_160","all",1371,0.715335648003469,0,0.96915187110238,0.942124507383871,0.996954587105909,0.0250630235954806,0.00251710454393608,0.0476089426470252,1,0.029928066941642,0,0.0293746942325097,0.178543214413615,0.175478168498608,0.0250630235954806,"AUC_scaled","PA","160"
"AUC_scaled_PA_200","all",1375,0.731552240304819,0,0.981412655245255,0.954861651295797,1.00870193977156,0.00820706608415278,-0.0138737490222133,0.0302878811905189,1,0.179854438044141,0,0.46604756105443,0.169176903696655,0.167398396976871,0.00820706608415278,"AUC_scaled","PA","200"
"AUC_scaled_PA_400","all",1396,0.769504820972495,0,1.00921007607671,0.984074141654603,1.03498805074002,-0.00712771436191895,-0.0277749985495025,0.0135195698256646,1,0.475977353765958,0,0.498395649542089,0.153753540055921,0.154433312911879,-0.00712771436191895,"AUC_scaled","PA","400"
"AUC_scaled_PBG_40","all",1343,0.496280460771312,6.42010578814775e-202,1.13825946203189,1.095804447904,1.18235932093847,0.0635695375697468,0.0345610058882892,0.0925780692512045,1,3.05018232893417e-11,0,1.84007765924674e-05,0.274155364275346,0.243918774680325,0.0635695375697468,"AUC_scaled","PBG","40"
"AUC_scaled_PBG_80","all",1386,0.563992675127729,9.66305495511225e-252,1.18189745449958,1.14146205273268,1.22376524879511,0.0492990301195918,0.0222380736691911,0.0763599865699925,1,0,0,0.00036400110537619,0.259448498786734,0.218028963559219,0.0492990301195918,"AUC_scaled","PBG","80"
"AUC_scaled_PBG_120","all",1400,0.603032270388822,9.30297316630985e-283,1.15006347487767,1.11267531367328,1.18870795459749,0.0651763970667922,0.0406847966126792,0.0896679975209053,1,2.22044604925031e-16,0,2.05578861962031e-07,0.253341244288252,0.213399927723419,0.0651763970667922,"AUC_scaled","PBG","120"
"AUC_scaled_PBG_160","all",1400,0.621013530382212,7.7685357339967e-297,1.17445890854306,1.13713806743716,1.21300461866069,0.0608300520499169,0.0360717904147718,0.0855883136850619,1,0,0,1.59440009706871e-06,0.254477831170712,0.205278507645374,0.0608300520499169,"AUC_scaled","PBG","160"
"AUC_scaled_PBG_200","all",1398,0.617724422865751,8.56374853427506e-294,1.15509315910483,1.11820538309618,1.19319780281903,0.0813644975320156,0.0572933101555705,0.105435684908461,1,0,0,4.76074832984795e-11,0.258457188803463,0.203817000926844,0.0813644975320156,"AUC_scaled","PBG","200"
"AUC_scaled_PBG_400","all",1407,0.609066179926055,7.72721341879002e-289,1.19955877758049,1.16094919472733,1.23945239585472,0.0457592824783413,0.0204582312582803,0.0710603336984022,1,0,0,0.000401197748964422,0.254327797101884,0.207048690024062,0.0457592824783413,"AUC_scaled","PBG","400"
"COR_scaled_PAA_40","all",1342,0.621279397740726,8.22526750416898e-285,1.14513439478584,1.10799071921504,1.18352325464472,0.0202165326179528,-0.00611816619944108,0.0465512314353466,1,1.33226762955019e-15,0,0.132308298538556,0.226789236168106,0.20656525970746,0.0202165326179528,"COR_scaled","PAA","40"
"COR_scaled_PAA_80","all",1386,0.682171449113003,0,1.1695654135248,1.13531397930945,1.20485018368703,0.000444620015958019,-0.0239011175055496,0.0247903575374656,1,0,0,0.971426543067029,0.205951412121642,0.182290181395897,0.000444620015958019,"COR_scaled","PAA","80"
"COR_scaled_PAA_120","all",1400,0.700097614850952,0,1.13439882573154,1.10227380224188,1.16746011127524,0.0260362618897944,0.00381210026273892,0.0482604235168498,1,0,0,0.0217005449610923,0.206374937079201,0.182420753931948,0.0260362618897944,"COR_scaled","PAA","120"
"COR_scaled_PAA_160","all",1400,0.719905440405328,0,1.13984239957849,1.10863214585158,1.17193128553823,0.0231951326106028,0.00102830273962252,0.0453619624815831,1,0,0,0.0402911419596875,0.2014453667413,0.173566774914438,0.0231951326106028,"COR_scaled","PAA","160"
"COR_scaled_PAA_200","all",1398,0.710785020224755,0,1.11802821395512,1.0869059223424,1.15004165632461,0.0462719245732557,0.024504267175026,0.0680395819714854,1,1.54321000422897e-14,0,3.23434083329792e-05,0.206747025922853,0.174512098455217,0.0462719245732557,"COR_scaled","PAA","200"
"COR_scaled_PAA_400","all",1407,0.692616409528827,0,1.14732934163115,1.11452228296008,1.18110210831461,0.0236614569071291,0.000702140485276708,0.0466207733289814,1,0,0,0.0434022888901835,0.208962589308325,0.180980840280971,0.0236614569071291,"COR_scaled","PAA","400"
"COR_scaled_PA_40","all",1149,0.464769095237923,7.18420634140942e-158,1.02788862111697,0.985246046272249,1.07237681533391,0.0835330164149449,0.0518115556367885,0.115254477193101,1,0.203091145842307,0,2.80834903797461e-07,0.268617859482688,0.251972074465859,0.0835330164149449,"COR_scaled","PA","40"
"COR_scaled_PA_80","all",1321,0.570697990030189,1.86394101791401e-244,1.100389778248,1.06213367323197,1.14002379793511,0.0706142132265938,0.0437196999899449,0.0975087264632426,1,1.28018624145909e-07,0,2.98781652147972e-07,0.24636694840348,0.215459184008399,0.0706142132265938,"COR_scaled","PA","80"
"COR_scaled_PA_120","all",1363,0.642148809800648,5.31452081245582e-306,1.11584055737846,1.08091062780136,1.15189925740973,0.0680768489574338,0.0446204806678469,0.0915332172470207,1,1.86984872030393e-11,0,1.52335691946127e-08,0.23628373145421,0.200916936736288,0.0680768489574338,"COR_scaled","PA","120"
"COR_scaled_PA_160","all",1371,0.661751951129957,0,1.12864368512355,1.09437805921409,1.16398218809691,0.0711044567585833,0.04777454603271,0.0944343674844567,1,2.26485497023532e-14,0,2.86314689388814e-09,0.237437459586844,0.192977666685296,0.0711044567585833,"COR_scaled","PA","160"
"COR_scaled_PA_200","all",1375,0.686224903051926,0,1.12520448340034,1.09233066616903,1.15906764194819,0.0763810140414691,0.0543148559420386,0.0984471721408997,1,1.0325074129014e-14,0,1.66090271292667e-11,0.23127593309863,0.182307537815095,0.0763810140414691,"COR_scaled","PA","200"
"COR_scaled_PA_400","all",1396,0.703698547642821,0,1.16668929872339,1.13379942770903,1.20053325702067,0.0545954575303624,0.0327573450434803,0.0764335700172446,1,0,0,1.048281320087e-06,0.228723577501292,0.176912559533617,0.0545954575303624,"COR_scaled","PA","400"
"COR_scaled_PBG_40","all",1343,0.504108428220968,1.75132071610393e-206,1.24946994589642,1.2032235306751,1.29749386202782,0.0660536756132278,0.0373645420649284,0.0947428091615273,1,0,0,6.83350568965501e-06,0.302267570991673,0.241624122982537,0.0660536756132278,"COR_scaled","PBG","40"
"COR_scaled_PBG_80","all",1386,0.573658931770443,1.7526495481604e-258,1.31280024053297,1.26837825240157,1.35877800512602,0.0533908022825872,0.0267678134157245,0.0800137911494499,1,0,0,8.76747913996135e-05,0.298533780676067,0.215205128391188,0.0533908022825872,"COR_scaled","PBG","80"
"COR_scaled_PBG_120","all",1400,0.602241237152615,3.74307466861729e-282,1.27432635339565,1.23285788701577,1.31718965507812,0.075805115125654,0.0516006389962227,0.100009591255085,1,0,0,1.04947938674341e-09,0.294832037309611,0.213643078957181,0.075805115125654,"COR_scaled","PBG","120"
"COR_scaled_PBG_160","all",1400,0.616776044951838,1.85035033255618e-293,1.29749353936124,1.2560369509814,1.34031843837777,0.073328634439113,0.0487936201094556,0.0978636487687704,1,0,0,5.66761978232982e-09,0.3007126592286,0.206578573634513,0.073328634439113,"COR_scaled","PBG","160"
"COR_scaled_PBG_200","all",1398,0.613241464995652,2.94078219420969e-290,1.28235811682868,1.24117069548237,1.32491231526965,0.0922852806580405,0.0683883589522898,0.116182202363791,1,0,0,6.47690172214444e-14,0.305435487511523,0.205172781962848,0.0922852806580405,"COR_scaled","PBG","200"
