"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","rmsd","rmse","intercept","metric","method","point"
"AUC_scaled_PAA_40","all",1342,0.574130875942206,1.18463602033472e-250,0.949472409149966,0.916847480097818,0.983258257568489,0.00428403648933295,-0.0214460373871033,0.0300141103657692,1,0.00367752884541261,0,0.744000693517033,0.209568525128086,0.201363124152287,0.00428403648933295,"AUC_scaled","PAA","40"
"AUC_scaled_PAA_80","all",1387,0.643129349286014,3.47188811910632e-312,0.965994986226893,0.93605560862381,0.996891963274925,-0.0211706558885297,-0.0450517255173609,0.00271041374030142,1,0.0312782639417851,0,0.0822507934784969,0.186996855257851,0.177942704371444,-0.0211706558885297,"AUC_scaled","PAA","80"
"AUC_scaled_PAA_120","all",1400,0.669084192911609,0,0.930721037894743,0.903055006845491,0.959234646631085,0.00214591527584418,-0.0194730852903868,0.0237649158420752,1,3.29317292058207e-06,0,0.845643727593757,0.189219242504746,0.175811284435274,0.00214591527584418,"AUC_scaled","PAA","120"
"AUC_scaled_PAA_160","all",1400,0.681939343488883,0,0.931190766617902,0.904045592726324,0.959151010536405,0.00506216359907485,-0.0166760724652393,0.026800399663389,1,2.4670402454241e-06,0,0.647878186756881,0.181471294441662,0.168536746847434,0.00506216359907485,"AUC_scaled","PAA","160"
"AUC_scaled_PAA_200","all",1398,0.678725614329704,0,0.917109319860154,0.8902229590797,0.944807697887123,0.0203864358723748,-0.000920029169064411,0.0416929009138139,1,1.37104962938395e-08,0,0.0607321857586813,0.182097994989948,0.168667703354547,0.0203864358723748,"AUC_scaled","PAA","200"
"AUC_scaled_PAA_400","all",1407,0.65949728184853,0,0.942214697104315,0.913880331036555,0.971427554888328,-0.00292395789839672,-0.0254040948984607,0.0195561791016673,1,0.000136111593066479,0,0.798645059380909,0.186277684065863,0.174838413424267,-0.00292395789839672,"AUC_scaled","PAA","400"
"AUC_scaled_PA_40","all",1148,0.432559074148682,3.55034867264164e-143,0.818769260724218,0.783802475394584,0.855295974881167,0.0379476657327368,0.00686307582024369,0.0690322556452299,1,0,0,0.0167697595327548,0.289901307465284,0.238239868476264,0.0379476657327368,"AUC_scaled","PA","40"
"AUC_scaled_PA_80","all",1322,0.552320843240535,1.28335443593383e-232,0.871874248904707,0.840944056703068,0.903942063498709,0.000917343458866293,-0.0258833023847051,0.0277179893024376,1,1.46882506157908e-13,0,0.946474036006408,0.241343428645817,0.201992918249892,0.000917343458866293,"AUC_scaled","PA","80"
"AUC_scaled_PA_120","all",1363,0.660562429895043,1.28457067918724e-321,0.879483791382318,0.852659088256225,0.907152401185433,0.00318662757578303,-0.0189831254104926,0.0253563805620586,1,7.7715611723761e-16,0,0.778008369819524,0.212072092923987,0.178129186191421,0.00318662757578303,"AUC_scaled","PA","120"
"AUC_scaled_PA_160","all",1371,0.701276841558057,0,0.876415662460196,0.851386982554793,0.902180123896961,0.0196814489346567,-0.00121257843647382,0.0405754763057873,1,0,0,0.0648393742573513,0.192939754370501,0.162927407002364,0.0196814489346567,"AUC_scaled","PA","160"
"AUC_scaled_PA_200","all",1375,0.720891695731535,0,0.89484259126897,0.87016437681901,0.920220689884108,-0.000891064217452997,-0.0214255994020989,0.0196434709671929,1,1.13242748511766e-14,0,0.932174720627257,0.186156689679165,0.15589640023907,-0.000891064217452997,"AUC_scaled","PA","200"
"AUC_scaled_PA_400","all",1396,0.759042271122882,0,0.921319675885177,0.897864491715967,0.945387586885093,-0.0168145987108066,-0.0360915533135193,0.00246235589190614,1,5.79200576389383e-10,0,0.0872865575333155,0.170044650891438,0.144378511694353,-0.0168145987108066,"AUC_scaled","PA","400"
"AUC_scaled_PBG_40","all",1342,0.431357524213724,1.83143435117287e-166,1.04719649832109,1.00573218721165,1.09037029940971,0.046875783166192,0.018529567556608,0.075221998775776,1,0.0252893116325419,0,0.00120729140681682,0.246280102269715,0.239664368006849,0.046875783166192,"AUC_scaled","PBG","40"
"AUC_scaled_PBG_80","all",1387,0.506709986553403,8.94976593569104e-215,1.07922763298897,1.04001233965733,1.11992160034441,0.0320911755429925,0.00569466954295726,0.0584876815430277,1,5.54468304043709e-05,0,0.0172184525955829,0.222310007444552,0.214642977434438,0.0320911755429925,"AUC_scaled","PBG","80"
"AUC_scaled_PBG_120","all",1400,0.552994019784425,1.06296311843571e-246,1.04628759422033,1.01023004154784,1.08363212812606,0.0504483768653017,0.0267395210665358,0.0741572326640676,1,0.0114722461017283,0,3.17663631149942e-05,0.218399362341768,0.208646362065904,0.0504483768653017,"AUC_scaled","PBG","120"
"AUC_scaled_PBG_160","all",1400,0.557251932003325,1.31629293951641e-249,1.06477920427202,1.028256461932,1.10259920148709,0.0505093983822822,0.0262006520607274,0.074818144703837,1,0.000430087506916088,0,4.83964450256537e-05,0.216721215400866,0.203310908420672,0.0505093983822822,"AUC_scaled","PBG","160"
"AUC_scaled_PBG_200","all",1398,0.54860890131818,2.17530619250106e-243,1.05072321649112,1.01431316793914,1.08844024958935,0.0684725427022279,0.0446389852694545,0.0923061001350014,1,0.00598683624129981,0,2.10564015127295e-08,0.222643336369044,0.204646848674628,0.0684725427022279,"AUC_scaled","PBG","200"
"AUC_scaled_PBG_400","all",1407,0.554469364446675,6.19915848666455e-249,1.09163166006964,1.0541646467662,1.13043032217215,0.0336718044132169,0.00903338419826823,0.0583102246281656,1,9.21281625210213e-07,0,0.00742899878562427,0.214955919342949,0.20382359805938,0.0336718044132169,"AUC_scaled","PBG","400"
"COR_scaled_PAA_40","all",1342,0.582829362203838,1.16280251457414e-256,1.0445998268637,1.00906818874533,1.08138261661032,0.0100889229044679,-0.0151874457917936,0.0353652916007294,1,0.0134932179261338,0,0.433756046867549,0.198805440071256,0.198972671692901,0.0100889229044679,"COR_scaled","PAA","40"
"COR_scaled_PAA_80","all",1387,0.65049819711861,1.83260805618019e-318,1.07006844058209,1.03724222755402,1.10393352402359,-0.0112038126432574,-0.0345470514697157,0.0121394261832008,1,2.12101312528912e-05,0,0.346599346926981,0.17433256507231,0.175872571337777,-0.0112038126432574,"COR_scaled","PAA","80"
"COR_scaled_PAA_120","all",1400,0.667373769113432,0,1.03513888058155,1.00429079064142,1.06693450948334,0.0128307892170785,-0.00855320247330335,0.0342147809074603,1,0.0252876257925434,0,0.239382467159956,0.176966941193097,0.176315801411971,0.0128307892170785,"COR_scaled","PAA","120"
"COR_scaled_PAA_160","all",1400,0.674720685133571,0,1.03156752317969,1.00116208074899,1.06289638345371,0.0178503210940718,-0.00378865273640383,0.0394892949245474,1,0.0417541513287781,0,0.105843931585262,0.172476810471945,0.170643475250932,0.0178503210940718,"COR_scaled","PAA","160"
"COR_scaled_PAA_200","all",1398,0.671898145198678,0,1.02004784955746,0.989832441879958,1.05118560613209,0.0324224729367817,0.0112151819657524,0.053629763907811,1,0.195588339071442,0,0.00275603992542648,0.174934743380449,0.170644924897838,0.0324224729367817,"COR_scaled","PAA","200"
"COR_scaled_PAA_400","all",1407,0.65523493994521,0,1.04581368229088,1.01417070878192,1.07844394301274,0.0123282604743455,-0.00986763136898927,0.0345241523176804,1,0.00429128502063225,0,0.276093375504593,0.177439623662158,0.176057042127655,0.0123282604743455,"COR_scaled","PAA","400"
"COR_scaled_PA_40","all",1148,0.450668841692741,2.95039320029825e-151,0.936884096189075,0.897502574001612,0.977993640484471,0.0703426192259028,0.0410239760057149,0.0996612624460907,1,0.00294420703397802,0,2.8151542470455e-06,0.243761921867635,0.233449818342269,0.0703426192259028,"COR_scaled","PA","40"
"COR_scaled_PA_80","all",1322,0.553943786967541,1.16601789088575e-233,1.00714088674551,0.971475672705606,1.04411545677677,0.0517618580530754,0.0266750858369791,0.0768486302691718,1,0.698758577060478,0,5.47209564748975e-05,0.208573308077647,0.201563378547662,0.0517618580530754,"COR_scaled","PA","80"
"COR_scaled_PA_120","all",1363,0.621935566852057,9.36283305387569e-290,1.01897336086896,0.986201985041713,1.05283372565577,0.0507099195291359,0.0286769472144177,0.0727428918438542,1,0.259607457946091,0,6.87996128590145e-06,0.197504461609079,0.189254782718108,0.0507099195291359,"COR_scaled","PA","120"
"COR_scaled_PA_160","all",1371,0.638066423354131,2.0535780739001e-304,1.02064602305107,0.988609912610574,1.05372027033307,0.06131726925714,0.0394764473803205,0.0831580911339595,1,0.208995799917378,0,4.34433889706169e-08,0.19406662412354,0.181254323719389,0.06131726925714,"COR_scaled","PA","160"
"COR_scaled_PA_200","all",1375,0.664766478577255,0,1.0259505927542,0.994984251638346,1.05788068207062,0.0612692840368041,0.0404586768472941,0.0820798912263141,1,0.101283405812804,0,9.47732111144159e-09,0.186857293921286,0.172432890679353,0.0612692840368041,"COR_scaled","PA","200"
"COR_scaled_PA_400","all",1396,0.681508272388025,0,1.06508429919511,1.0339713235067,1.09713348774956,0.0395332063900958,0.0188502236082848,0.0602161891719069,1,3.17433258038013e-05,0,0.000184434477095919,0.181424839873263,0.168054339919495,0.0395332063900958,"COR_scaled","PA","400"
"COR_scaled_PBG_40","all",1342,0.445770141918765,6.10373064439669e-174,1.14621140665793,1.10139362196116,1.19285291158067,0.0505072594125675,0.0226704938453448,0.0783440249797902,1,2.49460452295125e-11,0,0.000384708110560616,0.25833080230435,0.235834412622621,0.0505072594125675,"COR_scaled","PBG","40"
"COR_scaled_PBG_80","all",1387,0.519645491457775,9.00720615986963e-223,1.19882875065015,1.15583183358524,1.24342515202011,0.0367823618798676,0.0109016209045417,0.0626631028551935,1,0,0,0.00537618437475413,0.24460152924434,0.211253622538993,0.0367823618798676,"COR_scaled","PBG","80"
